,T,CTL,FTR,VZ
502,34.4567,39.5992,109.7395,47.9174
503,34.4722,38.5295,115.5899,47.7746
504,34.8563,38.4971,117.4352,49.1443
505,34.7506,39.7741,120.308,49.2638
506,34.8867,40.0039,124.3425,49.3435
507,34.4281,40.3737,124.1724,49.5287
508,34.4952,39.0547,125.4188,49.5479
509,34.5813,39.4708,125.3769,49.2778
510,34.6083,39.2022,125.9922,49.0825
511,34.4945,37.7613,122.8245,48.9239
512,34.1958,37.5317,122.0317,48.9308
513,33.9995,37.1263,124.1859,48.7685
514,33.838,36.675,122.2591,48.7436
515,33.9658,36.926,120.8374,49.1099
516,34.1076,37.294,119.0606,49.1735
517,34.4631,37.3773,120.1123,49.3301
518,34.5101,37.8144,120.0736,49.466
519,34.4694,37.6911,119.3397,49.3069
520,34.4735,37.7506,119.2872,49.5109
521,34.1112,36.2819,116.7291,49.0876
522,34.0716,36.1993,117.5095,48.9788
523,33.5,35.5992,114.131,48.3725
524,33.4112,35.2835,113.2362,48.3562
525,32.8942,35.1129,109.6504,47.6794
526,32.678,35.2698,110.3039,47.774
527,33.0705,35.2433,110.6349,48.5079
528,32.7565,34.4354,109.6016,48.7182
529,32.9904,34.5152,109.9793,49.1954
530,32.9671,34.9469,110.7561,49.0296
531,33.235,35.1053,111.6757,49.2016
532,33.2598,34.926,111.0837,49.2988
533,33.35,35.183,111.2212,49.6042
534,33.4115,35.4528,111.3029,49.6882
535,33.2007,35.3025,111.0156,49.5731
536,32.84,34.9531,110.3844,49.0207
537,32.9123,34.6192,109.7598,48.6756
538,32.763,34.2005,109.5253,48.5536
539,32.9754,34.1446,109.6799,49.1095
540,32.7615,34.6333,107.3352,48.7928
541,32.7714,35.2915,107.9197,48.8496
542,33.0908,35.5059,110.0514,49.4147
543,33.3058,35.4606,109.8214,49.6857
544,33.2593,35.5812,110.2514,49.4322
545,32.6765,35.3873,109.0767,49.0966
546,32.6654,35.7789,110.4617,48.9757
547,32.7683,35.816,111.6075,49.1732
548,32.9531,35.6836,110.4192,49.2518
549,32.7077,35.6754,109.727,49.1861
550,32.8332,36.1534,108.8019,49.3219
551,32.8013,35.3814,107.4422,49.3332
552,32.5047,34.7341,105.5745,48.9154
553,32.7924,35.1987,105.485,49.2914
554,32.7146,36.2417,106.1726,49.0194
555,32.7306,36.2294,106.2694,49.5281
556,33.9591,36.5864,106.3771,49.9038
557,34.1179,36.4672,105.65,50.0659
558,34.1757,36.268,103.8665,50.1694
559,34.7375,36.6988,103.9902,50.4232
560,34.8515,36.324,103.9149,50.4257
561,34.6974,35.9944,102.7642,50.4582
562,34.3729,36.0694,102.6223,50.3146
563,34.583,36.1399,102.7867,50.5548
564,33.987,35.6683,101.5042,50.2688
565,33.4131,34.5368,91.5814,49.6408
566,33.3986,34.6785,89.6889,49.6619
567,33.6838,34.962,90.0504,50.118
568,33.5084,34.4432,88.6513,49.9571
569,33.576,34.8195,85.9869,49.5159
570,33.9371,34.4975,82.5702,49.6929
571,34.0821,34.3417,81.0514,50.0117
572,34.2381,34.4528,83.3958,49.7973
573,34.7747,34.5014,84.1476,49.6562
574,34.4321,33.9221,80.845,49.496
575,34.554,34.3972,80.629,49.7585
576,35.012,34.2417,80.1613,49.9453
577,34.7827,33.934,78.3151,49.7036
578,34.5315,33.636,74.2457,49.4128
579,34.8909,33.8503,78.6681,49.508
580,34.779,33.9727,78.0614,49.5296
581,34.674,33.2723,76.9923,49.5025
582,34.4044,33.0047,76.1466,49.2857
583,34.4278,32.9574,77.6342,49.1651
584,34.9919,33.0182,81.0592,49.1066
585,35.2298,32.9499,77.0288,48.1668
586,34.7571,32.3202,75.89,47.3833
587,34.6487,32.2224,75.537,47.4915
588,34.5877,32.0351,74.7081,47.3993
589,34.6782,32.2762,74.5373,47.4826
590,34.9004,32.6849,74.9001,47.73
591,34.764,32.6945,74.5557,47.4054
592,34.4614,32.31,73.3957,47.0256
593,34.5457,32.1752,74.6788,47.2541
594,34.7193,32.1916,74.7527,47.1897
595,34.9611,32.3504,74.9183,47.6947
596,34.9843,32.4575,75.1618,47.5139
597,35.0695,32.6879,75.149,47.587
598,36.0526,32.6588,76.3121,47.8826
599,35.7964,31.9113,75.8919,47.4856
600,36.3109,30.4822,76.232,47.6651
601,36.0833,29.914,75.482,47.5481
602,35.9705,29.8521,74.6512,47.1252
603,35.6625,29.5122,74.3826,46.762
604,35.4947,29.4963,74.1828,46.9088
605,35.7782,29.6027,73.4314,47.2448
606,35.5834,29.4238,73.3376,46.969
607,35.6259,29.6404,72.9043,47.1654
608,34.9619,29.5138,72.4156,46.5645
609,34.541,29.5143,72.3441,46.512
610,34.6821,29.7698,73.2037,47.0827
611,34.8428,29.8877,74.3585,47.1751
612,34.9696,29.9608,74.1142,47.3379
613,34.8056,29.583,73.1226,47.2945
614,35.0626,30.343,74.7692,47.7579
615,35.011,30.8827,77.6802,47.6576
616,34.8496,30.5971,75.3078,47.876
617,34.5188,29.8918,73.7298,46.924
618,34.1811,29.2432,72.0854,46.3684
619,34.0181,29.0243,71.5904,46.3978
620,34.7714,28.3018,69.3305,46.1405
621,34.4049,28.0892,67.6926,45.9199
622,34.3623,28.2036,68.3405,45.8711
623,34.6873,27.9818,69.3999,46.5869
624,34.7723,28.0453,69.5115,46.5731
625,34.8649,28.738,71.126,46.9016
626,34.6584,28.7606,76.5885,46.8163
627,34.6108,28.5537,78.1641,46.774
628,34.6263,28.6592,77.9358,46.8149
629,34.2145,27.2526,76.274,46.4993
630,34.1651,27.6646,77.8636,46.3645
631,34.6729,28.597,79.5189,47.1606
632,34.7421,28.37,80.1244,47.6936
633,33.7147,28.1786,80.2588,47.4638
634,33.9158,28.0162,80.5836,47.6811
635,33.9495,28.2157,81.792,47.512
636,34.1743,28.3998,83.6695,47.4774
637,34.343,28.2491,82.1642,47.469
638,34.2951,28.2633,80.1627,47.3416
639,34.1902,27.9544,78.9578,47.1216
640,33.598,27.3822,77.3311,46.4245
641,32.5502,26.042,74.6461,44.5626
642,32.4928,25.8003,75.4489,44.7095
643,32.4243,26.0023,72.5837,44.7223
